province,year,green_rate,forest_area_km2,urban_green_area_km2
上海,2005,,597.0,287.0
上海,2006,0.373,597.0,306.0
上海,2007,0.376,597.0,318.0
上海,2008,,597.0,343.0
上海,2009,,681.0,1169.0
上海,2010,0.382,681.0,1201.0
上海,2011,0.382,681.0,1223.0
上海,2012,0.38299999999999995,681.0,1242.0
上海,2013,0.384,681.0,1243.0
上海,2014,0.384,890.0,1257.0
上海,2015,0.385,890.0,1273.0
上海,2016,0.386,890.0,1288.0
上海,2017,0.391,890.0,1363.0
上海,2018,0.36200000000000004,890.0,1394.0
上海,2019,0.368,,1578.0
上海,2020,0.373,,1646.0
上海,2021,0.377,,1712.0
上海,2022,0.381,,1726.0000000000002
上海,2023,0.37799999999999995,890.0,1732.9999999999998
云南,2005,,181773.0,167.0
云南,2006,0.258,181773.0,132.0
云南,2007,0.31,181773.0,165.0
云南,2008,0.32,181773.0,184.0
云南,2009,0.363,191419.0,224.00000000000003
云南,2010,0.373,191419.0,281.0
云南,2011,0.387,191419.0,319.0
云南,2012,0.39299999999999996,191419.0,353.0
云南,2013,0.37799999999999995,191419.0,349.0
云南,2014,0.381,210616.0,373.0
云南,2015,0.373,210616.0,394.0
云南,2016,0.37799999999999995,210616.0,430.99999999999994
云南,2017,0.389,210616.0,451.99999999999994
云南,2018,0.39799999999999996,210616.0,463.99999999999994
云南,2019,0.397,,486.00000000000006
云南,2020,0.405,,513.0
云南,2021,0.425,,532.0
云南,2022,0.431,,633.0
云南,2023,0.43700000000000006,210616.0,575.0
内蒙古,2005,,236640.0,196.0
内蒙古,2006,0.266,236640.0,212.0
内蒙古,2007,0.281,236640.0,241.0
内蒙古,2008,0.306,236640.0,260.0
内蒙古,2009,0.324,248790.0,296.0
内蒙古,2010,0.33399999999999996,248790.0,381.0
内蒙古,2011,0.341,248790.0,411.00000000000006
内蒙古,2012,0.36200000000000004,248790.0,467.0
内蒙古,2013,0.36200000000000004,248790.0,493.0
内蒙古,2014,0.39799999999999996,261485.0,574.0
内蒙古,2015,0.392,261485.0,631.0
内蒙古,2016,0.39899999999999997,261485.0,656.0
内蒙古,2017,0.402,261485.0,672.0
内蒙古,2018,0.406,261485.0,672.0
内蒙古,2019,0.405,,691.0
内蒙古,2020,0.405,,685.0
内蒙古,2021,0.42,,708.0
内蒙古,2022,0.419,,716.0
内蒙古,2023,0.42200000000000004,261485.0,721.0
北京,2005,,5205.0,444.00000000000006
北京,2006,0.444,5205.0,532.0
北京,2007,0.36200000000000004,5205.0,448.00000000000006
北京,2008,0.37200000000000005,5205.0,470.0
北京,2009,0.47700000000000004,5881.0,617.0
北京,2010,,5881.0,627.0
北京,2011,0.456,5881.0,635.0
北京,2012,0.462,5881.0,655.0
北京,2013,0.47100000000000003,5881.0,684.0
北京,2014,0.491,7181.999999999999,684.0
北京,2015,0.484,7181.999999999999,813.0000000000001
北京,2016,0.484,7181.999999999999,821.0000000000001
北京,2017,0.484,7181.999999999999,835.0
北京,2018,0.484,7181.999999999999,852.9999999999999
北京,2019,0.485,,886.9999999999999
北京,2020,0.49,,927.0
北京,2021,0.493,,931.0
北京,2022,0.498,,936.0
北京,2023,0.498,7181.999999999999,941.0
吉林,2005,,73657.0,269.0
吉林,2006,0.316,73657.0,273.0
吉林,2007,0.313,73657.0,290.0
吉林,2008,0.315,73657.0,321.0
吉林,2009,0.32799999999999996,76387.0,348.0
吉林,2010,0.341,76387.0,379.0
吉林,2011,0.342,76387.0,387.0
吉林,2012,0.33899999999999997,76387.0,388.0
吉林,2013,0.314,76387.0,384.0
吉林,2014,0.358,78487.0,453.0
吉林,2015,0.361,78487.0,473.00000000000006
吉林,2016,0.35,78487.0,466.0
吉林,2017,0.358,78487.0,480.99999999999994
吉林,2018,0.376,78487.0,693.0
吉林,2019,0.392,,900.0
吉林,2020,0.40399999999999997,,926.0
吉林,2021,0.41100000000000003,,944.9999999999999
吉林,2022,0.42700000000000005,,994.9999999999999
吉林,2023,0.428,78487.0,1002.9999999999999
四川,2005,,165952.0,681.0
四川,2006,0.335,165952.0,545.0
四川,2007,0.342,165952.0,559.0
四川,2008,0.353,165952.0,580.0
四川,2009,0.364,170374.0,668.0
四川,2010,0.379,170374.0,723.0
四川,2011,0.382,170374.0,774.0
四川,2012,0.387,170374.0,832.0
四川,2013,0.384,170374.0,889.0
四川,2014,0.375,183977.0,821.0000000000001
四川,2015,0.387,183977.0,871.0000000000001
四川,2016,0.39899999999999997,183977.0,1006.0
四川,2017,0.4,183977.0,1075.0
四川,2018,0.405,183977.0,1135.0
四川,2019,0.418,,1242.0
四川,2020,0.425,,1305.0
四川,2021,0.431,,1395.0
四川,2022,0.435,,1435.0
四川,2023,0.442,183977.0,1452.0
天津,2005,,932.0,157.0
天津,2006,0.37,932.0,157.0
天津,2007,,932.0,
天津,2008,,932.0,
天津,2009,0.303,1116.0,174.0
天津,2010,0.321,1116.0,192.0
天津,2011,0.345,1116.0,217.0
天津,2012,0.349,1116.0,223.0
天津,2013,0.349,1116.0,231.99999999999997
天津,2014,0.349,1364.0,252.99999999999997
天津,2015,0.364,1364.0,284.0
天津,2016,0.37200000000000005,1364.0,334.0
