province,year,synergy_score
上海,2005,
上海,2006,1.0641074194934794
上海,2007,1.0692186078597208
上海,2008,
上海,2009,
上海,2010,0.9670067533726712
上海,2011,0.8499810279421822
上海,2012,0.8798883249884601
上海,2013,0.8563223177634529
上海,2014,0.7991210997767418
上海,2015,0.8151951636977148
上海,2016,0.7537014782543064
上海,2017,0.6140900447513752
上海,2018,0.3262138334876816
上海,2019,0.2507194862386166
云南,2005,
云南,2006,-0.6561643460162858
云南,2007,-0.37924432663979446
云南,2008,-0.3186803077039649
云南,2009,-0.05898432661826347
云南,2010,0.05512450621734466
云南,2011,0.14385439386189064
云南,2012,0.14767010804653974
云南,2013,-0.2214841250161339
云南,2014,-0.10089661331323124
云南,2016,-0.27499605868114085
云南,2017,-0.3092235886112014
云南,2018,-0.24777944077377012
云南,2019,-0.40725651968329163
内蒙,2005,
内蒙,2006,
内蒙,2007,
内蒙,2008,
内蒙,2009,
内蒙,2010,
内蒙,2011,
内蒙,2012,
内蒙,2013,
内蒙,2014,
内蒙,2015,
内蒙,2016,
内蒙,2017,
内蒙,2018,
内蒙,2019,
北京,2005,
北京,2006,1.3561282199933358
北京,2007,0.8318805399001483
北京,2008,1.0577886748568677
北京,2009,1.6817131931436688
北京,2010,
北京,2011,1.6807744775983082
北京,2012,1.747257414413244
北京,2013,1.8317876566183924
北京,2014,1.948973557475893
北京,2015,1.9014647542441103
北京,2016,1.9619780316663145
北京,2017,1.9395872387212674
北京,2018,1.9768302811999492
北京,2019,2.043744254050378
吉林,2005,
吉林,2006,-0.4708141767799885
吉林,2007,-0.65631280571501
吉林,2008,-0.7849946082318465
吉林,2009,-0.6365738736754967
吉林,2010,-0.7024096601260111
吉林,2011,-0.926011195335463
吉林,2012,-0.923056686362979
吉林,2013,-1.0130639467148221
吉林,2014,-0.7003194515222516
吉林,2015,-0.6388945795988692
吉林,2016,-0.8288487165377999
吉林,2017,-0.7893319842312527
吉林,2018,-0.35642320409865624
吉林,2019,-0.246219140036955
四川,2005,
四川,2006,0.2905952555608241
四川,2007,0.18977536502542774
四川,2008,0.0825277916955372
四川,2009,0.11030170649382878
四川,2010,0.1462590952973008
四川,2011,0.2815991718798263
四川,2012,0.13927629486416904
四川,2013,0.16397211792077104
四川,2014,0.16591269831235475
四川,2015,0.30555023077924276
四川,2016,0.3930408583186913
四川,2017,0.3090725268616353
四川,2018,0.34228496247797296
四川,2019,0.48854305179749064
天津,2005,
天津,2006,0.34373754577120996
天津,2007,
天津,2008,
天津,2009,-0.21394125044166418
天津,2010,0.012798898671573116
天津,2011,0.057284778454391005
天津,2012,0.015157706967594635
天津,2013,-0.09427892250088984
天津,2014,-0.09023817883365845
天津,2015,0.07169357666896085
天津,2016,0.07177698272477294
天津,2017,-0.13420419296297134
天津,2018,-0.08391722648917166
天津,2019,-0.30144402740206355
宁夏,2005,
宁夏,2006,
宁夏,2007,
宁夏,2008,
宁夏,2009,
宁夏,2010,
宁夏,2011,
宁夏,2012,
宁夏,2013,
宁夏,2014,
宁夏,2015,
宁夏,2016,
宁夏,2017,
宁夏,2018,
宁夏,2019,
安徽,2005,
安徽,2006,-0.5035336985067912
安徽,2007,-0.4300155883107816
安徽,2008,-0.6113219278475794
安徽,2009,-0.5231294595219422
安徽,2010,-0.664949849072139
安徽,2011,-0.5088845931484709
安徽,2012,-0.507805252816953
安徽,2013,-0.4287781413683719
安徽,2014,-0.3161056642237102
安徽,2015,-0.3180919544872861
安徽,2016,-0.28261154970696617
安徽,2017,-0.23081668869682567
安徽,2018,-0.15720766999975955
安徽,2019,-0.20587201154762286
山东,2005,
山东,2006,-0.11291005109584173
山东,2007,-0.005942589731268627
山东,2008,-0.008833736138252168
山东,2009,0.08406099610836834
山东,2010,-0.024021480071314355
山东,2011,-0.052835626260801016
山东,2012,-0.021772889166497986
山东,2013,-0.021813968647487122
山东,2014,-0.11880394950479886
山东,2015,0.039838282784158505
山东,2016,0.04842099920476167
山东,2017,0.04681101761057238
山东,2018,0.15893506689829592
山东,2019,-0.012719469437614789
山西,2005,
山西,2006,-1.6056590909317383
山西,2007,-1.743014203912347
山西,2008,-1.4649900466218146
山西,2009,-1.3827779738998087
山西,2010,-1.2912792405136744
山西,2011,-1.3222411057525816
山西,2012,-1.3057124810680623
山西,2013,-1.2740265142811535
山西,2014,-1.3801561763659724
山西,2015,-1.4282800320106608
山西,2016,-1.466495163725717
山西,2017,-1.495521226094068
山西,2018,-1.350760204121991
山西,2019,-1.1440544114619284
广东,2005,
广东,2006,1.1691183368171716
广东,2007,1.149651589634895
广东,2008,1.1631105327360465
广东,2009,1.143046106150774
广东,2010,1.0784612905524735
广东,2011,0.9460502446630265
广东,2012,0.9468795366368219
广东,2013,0.9792483520410586
广东,2014,0.8388731315910662
广东,2015,0.8410748183644744
广东,2016,0.5644041021890178
广东,2017,1.0506980591480843
广东,2018,0.9233840449588616
广东,2019,0.794022664590269
广西,2005,
广西,2006,
广西,2007,
广西,2008,
广西,2009,
广西,2010,
广西,2011,
广西,2012,
广西,2013,
广西,2014,
广西,2015,
广西,2016,
